タイムスタンプ,アクション種別,詳細情報
2025-11-13 17:49:28.197,選択肢選択,問題1: JavaScript
2025-11-13 17:49:29.729,選択肢選択,問題1: JavaScript
2025-11-13 17:49:31.332,理由入力開始,問題1
2025-11-13 17:49:39.198,理由入力完了,問題1
2025-11-13 17:49:47.648,選択肢選択,問題1: Python
2025-11-13 17:51:29.649,選択肢選択,問題1: JavaScript
2025-11-13 17:51:31.654,理由入力開始,問題1
2025-11-13 17:51:41.764,理由入力完了,問題1
2025-11-13 17:51:45.815,問題移動,問題1 → 問題2
2025-11-13 17:51:48.413,選択肢選択,問題2: Sublime Text
2025-11-13 17:51:49.747,選択肢選択,問題2: Sublime Text
2025-11-13 17:51:51.642,理由入力開始,問題2
2025-11-13 17:51:53.880,理由入力完了,問題2
2025-11-13 17:51:56.101,選択肢選択,問題2: IntelliJ IDEA
2025-11-13 17:51:56.224,選択肢選択,問題2: IntelliJ IDEA
2025-11-13 17:51:57.321,理由入力開始,問題2
2025-11-13 17:51:59.763,理由入力完了,問題2
2025-11-13 17:52:02.313,問題移動,問題2 → 問題3
2025-11-13 17:52:03.696,選択肢選択,問題3: 1時間未満
2025-11-13 17:52:04.910,理由入力開始,問題3
2025-11-13 17:52:08.896,理由入力完了,問題3
2025-11-13 17:52:11.147,アンケート送信,完了
2025-11-13 18:21:05.612,選択肢選択,問題1: test3
2025-11-13 18:21:07.080,選択肢選択,問題1: test3
2025-11-13 18:21:08.499,理由入力開始,問題1
2025-11-13 18:21:10.383,理由入力完了,問題1
2025-11-13 18:21:14.046,選択肢選択,問題1: test2
2025-11-13 18:21:17.262,理由入力開始,問題1
